,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
R_cell_228,3,0,7,8,0,1,3,4,1,1,2,7,5,6,5,0,6,0,3,0,3,2,2,2,1,3,6,2,8,5,31,9,12,6,6,11,9,9,29,66,5,2,0,5,2,1,10,2,6,1,7,3,3,5,2,1,5,7,0,1,0,3,2,2,6,12,3,5,4,2,0,3,0,1,4,2,2,4,1,1,3,2,2,4,2,7,3,4,4,1,4,3,0,4,0,1,1,0,0,1
R_cell_229,14,14,14,33,5,6,10,8,23,2,5,2,3,7,7,2,4,1,3,2,3,0,9,3,1,4,4,11,3,4,13,7,2,3,4,5,4,0,0,4,2,2,4,1,5,3,5,2,7,4,5,6,2,2,2,3,2,7,2,6,1,3,3,0,10,4,0,3,2,1,1,0,3,3,3,7,2,4,3,1,1,0,4,3,0,6,3,4,6,15,1,2,2,2,0,0,1,2,1,0
R_cell_230,3,0,3,7,0,3,1,3,3,5,8,2,1,2,7,2,7,0,1,1,2,6,3,1,1,1,4,6,5,5,34,6,12,8,7,7,17,11,19,77,4,3,2,5,2,4,3,3,6,2,1,6,1,0,2,3,1,10,1,4,0,1,4,4,6,5,1,5,3,1,3,0,1,2,0,6,2,3,0,4,3,3,1,1,1,1,7,3,1,1,2,3,4,1,2,2,2,2,5,1
R_cell_231,2,0,7,5,1,0,5,1,4,3,24,23,18,13,23,2,22,13,19,9,3,1,5,5,0,1,2,0,3,3,9,2,0,0,4,2,2,3,5,1,7,1,1,1,2,3,8,3,8,1,1,3,0,1,1,3,3,5,0,4,1,3,2,0,7,8,3,2,6,2,1,2,3,2,3,4,4,3,3,2,4,1,3,0,2,3,4,7,4,6,2,2,2,1,0,1,1,2,2,0
R_cell_232,5,0,6,3,0,1,4,2,3,4,9,8,1,3,1,2,0,0,2,1,3,3,5,1,2,0,3,3,4,4,43,6,11,9,6,18,15,8,14,53,9,4,1,1,5,2,7,7,6,2,1,5,0,6,3,4,3,7,1,1,1,5,0,3,3,6,2,2,4,0,0,1,2,2,3,2,1,3,5,5,2,2,1,5,3,4,1,5,2,7,4,4,0,1,0,3,0,2,1,4
R_cell_233,3,0,0,10,1,1,2,2,4,2,2,4,2,8,4,0,4,1,11,2,2,4,7,7,3,4,8,5,3,2,18,1,3,0,3,6,2,5,3,3,30,10,2,13,10,17,7,14,20,29,1,5,1,1,1,5,0,7,0,9,1,3,3,6,3,4,0,2,4,3,1,2,4,1,3,7,0,3,5,1,5,5,4,0,2,5,0,1,2,4,2,4,3,2,0,0,2,1,5,3
R_cell_234,5,2,2,0,1,0,0,1,4,0,5,8,4,4,11,4,3,4,5,1,3,3,2,5,0,2,1,5,1,1,46,7,13,4,11,10,13,14,27,61,15,3,2,1,6,2,3,1,7,3,9,7,0,3,7,1,3,12,1,3,2,5,0,2,4,7,5,2,7,3,2,3,0,4,3,5,1,2,4,2,3,3,2,3,1,8,4,2,3,4,0,1,0,8,2,0,1,2,4,1
R_cell_235,3,3,3,2,0,0,6,2,2,1,3,3,4,1,3,3,1,1,6,6,11,10,45,22,18,4,27,9,16,18,13,4,2,0,6,5,7,3,1,0,2,5,1,0,1,6,2,4,3,1,0,2,0,3,0,1,2,5,1,6,1,1,4,8,5,4,4,1,4,4,0,2,6,6,2,2,4,3,5,5,4,3,1,1,1,3,0,3,5,3,5,3,3,1,0,1,2,0,5,2
R_cell_236,1,1,5,12,0,2,9,1,2,1,57,10,11,13,18,4,25,9,32,20,0,0,3,2,2,1,7,8,5,7,14,2,3,1,2,4,2,1,3,1,8,5,2,4,2,4,5,7,4,1,5,7,3,7,2,2,2,13,2,3,1,0,2,3,4,5,3,2,5,1,0,2,4,7,3,3,3,3,3,2,8,1,1,5,0,2,0,4,6,4,5,1,2,3,4,1,0,2,7,2
R_cell_237,4,0,2,6,2,2,3,2,3,2,18,20,7,15,24,8,24,12,28,8,7,1,7,2,1,4,4,5,5,4,7,1,3,2,1,15,6,1,1,2,5,5,1,5,1,2,3,3,1,3,4,7,3,3,2,1,1,9,0,11,0,5,2,2,5,8,0,0,10,1,0,1,0,5,1,5,1,3,4,2,3,3,6,6,1,4,1,6,2,5,4,2,1,5,0,3,0,1,2,3
R_cell_238,2,0,5,5,1,0,0,2,5,3,20,17,14,31,29,9,25,13,31,9,2,1,2,3,3,0,2,3,2,6,5,1,0,3,9,6,1,0,3,0,6,4,1,4,6,3,4,1,4,1,3,8,5,3,3,0,4,5,1,7,2,8,2,3,9,6,2,2,7,1,1,2,2,4,4,8,0,4,3,2,1,3,1,2,0,3,4,7,5,2,1,3,5,3,0,1,1,0,4,3
R_cell_239,5,0,4,7,1,3,3,3,1,1,8,5,7,14,2,1,4,0,3,4,4,2,6,0,1,2,1,5,5,1,6,6,2,0,6,4,1,1,3,1,31,8,6,11,16,11,9,8,33,15,5,2,0,4,1,1,4,1,5,4,2,2,4,5,4,2,2,3,5,3,1,1,3,3,2,2,1,2,9,2,4,2,6,4,4,4,3,5,5,2,2,6,0,4,0,3,1,4,2,3
R_cell_240,6,2,7,3,2,2,2,4,3,4,8,5,2,5,3,4,9,3,7,0,0,2,11,6,0,5,1,7,2,2,46,4,3,2,11,21,8,11,12,80,1,5,4,3,2,6,4,2,1,4,7,6,2,2,4,1,1,8,2,13,0,4,4,6,7,8,3,1,5,2,2,2,2,5,1,0,5,2,8,2,3,5,1,2,5,6,1,2,3,2,6,3,5,0,0,6,0,2,5,3
R_cell_241,2,0,6,7,0,0,2,2,4,3,8,3,0,7,2,0,0,2,2,0,1,1,4,1,1,6,3,3,1,0,44,8,16,5,11,10,12,13,15,54,5,2,2,1,5,5,7,2,6,2,2,4,1,2,3,1,1,8,2,3,1,0,5,2,2,3,3,3,4,0,8,2,3,1,2,3,3,3,1,4,4,1,1,1,0,2,5,1,2,3,4,3,4,3,0,0,0,1,1,1
R_cell_242,2,4,2,8,2,1,2,0,1,1,0,2,1,7,4,0,2,1,3,2,7,8,38,16,8,18,34,10,8,9,10,3,0,2,1,2,7,1,1,1,5,5,3,3,2,2,5,4,3,1,3,2,0,0,1,0,1,6,0,11,0,1,1,4,3,3,1,1,3,3,0,1,1,2,8,6,1,4,5,3,2,2,4,3,1,3,5,6,2,5,5,2,4,2,0,2,0,0,3,0
R_cell_243,4,2,0,11,1,3,4,1,2,1,4,5,3,2,1,2,5,0,6,4,2,2,6,2,5,3,5,6,1,4,25,3,16,5,9,38,4,5,21,28,3,4,3,1,1,2,5,1,7,2,5,3,1,4,5,1,8,0,2,6,0,1,7,4,4,5,2,3,7,4,0,1,0,8,3,2,0,1,9,3,10,0,4,1,0,3,4,2,2,0,9,1,1,3,1,2,2,2,9,0
R_cell_244,3,0,2,6,1,1,4,0,7,4,2,7,1,3,6,3,1,3,3,1,5,8,47,17,20,10,40,7,18,18,19,5,0,1,4,6,0,0,3,4,6,6,2,2,4,4,6,3,5,1,2,4,3,0,1,1,1,6,2,0,2,0,7,3,7,8,2,2,5,2,3,1,0,5,3,2,2,3,5,2,5,2,3,6,1,4,1,1,4,5,5,2,7,1,2,2,2,2,5,2
R_cell_245,20,9,36,23,2,8,8,13,23,2,7,2,1,7,5,2,8,2,4,4,3,4,7,2,2,0,5,5,6,8,9,3,2,3,4,1,2,2,1,3,8,5,4,1,2,1,5,7,2,10,4,4,0,2,1,3,2,7,2,9,0,1,2,8,5,1,3,4,7,7,2,2,2,1,4,6,1,3,1,4,4,2,0,1,1,7,2,3,3,5,6,4,2,3,1,0,2,2,4,0
R_cell_246,13,13,20,34,2,7,8,7,6,2,7,3,2,3,11,1,3,0,10,1,3,3,11,6,2,2,2,4,4,7,11,2,0,1,3,7,0,0,2,7,3,4,5,10,8,3,3,1,10,4,1,5,3,5,1,3,4,13,2,1,1,1,5,9,4,7,2,1,5,1,1,1,2,8,0,4,5,8,8,2,4,2,4,2,1,2,2,8,7,2,4,2,1,0,1,1,1,0,7,3
R_cell_247,2,2,4,5,0,0,4,1,1,2,3,6,3,5,2,1,3,1,3,1,2,2,11,1,3,3,7,1,4,2,8,1,1,2,5,8,4,0,2,0,14,3,2,12,13,19,29,22,17,13,6,3,2,4,0,3,4,5,2,7,0,2,3,2,2,10,0,1,6,3,1,4,0,3,0,4,2,3,2,2,4,3,4,4,0,1,6,1,2,2,4,1,2,2,3,1,0,0,0,0
R_cell_248,4,1,5,4,1,2,3,1,4,0,16,32,9,6,28,6,17,3,39,6,3,2,4,2,3,0,4,9,3,3,13,2,1,4,3,4,3,3,2,5,4,8,5,7,6,4,5,2,4,1,5,6,0,2,2,2,1,9,1,5,1,0,2,3,6,5,4,3,4,3,0,1,0,6,3,3,3,1,2,6,1,2,4,6,1,5,2,1,10,9,1,1,5,7,1,1,0,4,1,2
R_cell_249,18,5,15,29,1,7,6,6,25,8,2,3,3,3,1,2,4,0,5,4,2,1,11,4,2,1,1,2,8,3,14,2,3,1,4,3,4,2,2,4,3,7,3,1,5,1,6,1,2,4,4,4,1,0,8,3,3,7,3,8,0,1,5,3,4,5,1,1,18,3,3,0,2,7,1,1,0,5,3,1,3,4,3,1,2,1,2,5,5,5,1,2,1,5,1,0,1,2,2,2
R_cell_250,8,3,3,6,0,1,3,2,3,0,5,7,2,3,4,4,5,2,3,0,6,0,9,1,0,1,5,2,2,3,50,7,11,9,8,17,17,12,10,69,7,5,0,2,2,1,4,5,4,3,2,4,2,0,1,1,4,5,0,6,4,2,2,7,7,3,1,3,6,0,1,2,0,7,6,7,1,2,2,2,2,2,3,2,2,1,1,2,4,2,2,0,2,1,0,3,2,2,0,2
R_cell_251,4,4,1,10,1,2,1,2,0,0,5,4,1,10,3,5,3,3,5,2,9,14,22,20,22,13,52,15,10,12,6,2,5,0,5,5,1,4,1,3,3,4,2,7,2,6,8,3,4,1,4,4,0,2,3,3,10,4,7,5,1,4,4,9,8,4,1,0,5,3,1,1,2,3,1,7,6,3,2,4,9,1,2,0,0,5,1,1,3,4,5,1,4,1,2,0,3,0,1,0
R_cell_252,6,7,16,27,1,3,9,7,12,2,6,6,3,7,1,4,1,3,5,4,1,3,10,4,3,2,5,1,3,8,13,3,1,2,7,5,0,3,0,5,11,6,0,3,2,6,7,3,4,3,3,3,1,2,1,2,1,6,2,4,1,2,5,7,9,3,1,1,4,2,2,1,1,4,4,12,2,7,3,5,8,1,3,4,2,6,3,3,2,2,3,5,1,4,1,1,0,1,4,3
R_cell_253,6,1,9,6,0,3,0,2,1,2,10,3,5,5,2,0,6,1,2,3,3,1,7,2,4,1,4,6,7,4,5,2,2,2,2,7,1,0,2,3,17,10,9,19,7,8,23,16,26,13,5,5,0,2,1,7,0,4,2,6,0,1,1,2,5,3,2,3,3,3,1,0,2,6,3,8,3,4,5,3,5,3,7,3,2,3,1,4,12,3,14,1,0,1,0,1,3,1,3,0
R_cell_254,4,1,3,2,1,1,4,3,1,2,30,21,9,9,18,6,22,6,66,10,2,2,4,4,3,2,5,6,4,5,3,1,2,1,4,4,5,1,3,4,6,2,2,1,2,3,9,1,1,4,3,3,2,6,1,2,2,4,1,4,1,3,2,1,6,2,1,2,1,2,1,3,2,2,3,8,7,1,4,4,7,2,2,5,1,5,1,4,3,1,1,2,1,4,0,3,0,2,7,4
R_cell_255,1,5,5,1,2,0,1,5,1,2,3,4,1,6,6,0,1,1,3,2,4,9,19,18,16,8,48,20,18,21,12,0,3,1,6,6,2,1,2,4,4,2,2,3,3,5,4,7,9,0,3,3,0,4,0,2,4,3,1,4,3,2,3,7,2,2,1,4,2,3,1,1,2,9,1,2,2,7,6,2,4,3,3,0,0,5,1,6,4,5,4,6,1,5,1,1,3,3,2,1
R_cell_256,3,2,5,3,0,0,1,1,3,2,11,8,1,4,3,2,4,2,1,0,0,1,6,2,2,2,4,1,4,2,28,3,21,11,15,19,12,14,17,56,7,5,4,5,1,1,1,6,6,3,2,2,3,0,1,1,1,9,2,2,3,0,1,1,5,2,3,5,1,3,2,2,1,5,1,6,4,5,4,7,2,3,1,1,5,2,3,2,7,6,11,4,2,2,1,2,3,0,4,1
R_cell_257,0,3,8,5,1,0,5,4,3,2,6,0,1,2,3,0,4,0,7,5,0,2,5,4,1,2,7,3,4,6,21,6,12,6,24,14,9,10,17,56,7,3,1,2,1,3,1,3,5,2,1,9,1,2,3,1,2,6,4,3,1,1,3,5,5,6,5,2,3,2,2,0,0,1,1,0,2,5,6,0,4,2,3,3,1,1,2,1,5,3,4,0,0,4,2,2,1,3,3,3
R_cell_258,2,1,3,5,1,2,3,0,6,3,25,38,4,14,24,7,19,7,36,11,0,0,7,3,1,1,4,6,1,5,7,5,0,2,9,11,3,0,0,7,4,6,1,2,0,2,3,3,6,4,2,1,1,1,5,2,5,8,1,5,0,4,2,4,5,5,1,3,8,3,2,2,7,2,8,6,2,4,6,1,5,2,5,2,2,6,1,1,6,2,5,2,1,1,0,2,1,3,2,2
R_cell_259,9,8,16,61,4,4,8,19,29,3,7,2,1,9,6,2,1,1,8,2,3,0,3,1,4,3,1,3,6,5,5,2,0,3,7,7,1,0,2,1,4,6,0,6,0,4,4,2,4,2,5,4,1,2,1,2,1,11,3,10,2,2,3,1,5,5,4,2,9,1,1,0,1,2,0,0,2,1,4,0,5,1,3,5,2,1,4,4,5,4,4,2,0,2,0,3,1,0,4,2
R_cell_260,0,1,9,3,1,1,1,1,2,1,16,43,8,19,12,4,8,11,41,8,3,1,4,3,1,4,1,6,3,3,9,4,5,3,4,11,2,0,0,3,4,5,6,6,3,4,7,6,2,4,8,11,0,1,5,6,4,9,0,10,0,2,5,4,4,6,5,4,3,0,0,2,0,3,1,4,0,1,4,3,9,1,5,2,5,1,3,1,4,2,7,3,0,6,1,2,1,1,5,0
R_cell_261,0,2,3,8,0,1,3,3,3,2,30,32,16,11,22,6,16,11,35,11,5,1,1,1,2,1,3,5,3,2,8,2,0,2,9,7,3,0,0,4,3,5,3,1,5,8,1,4,5,4,3,2,3,1,0,2,1,12,2,2,0,1,3,5,10,4,6,2,5,5,0,1,7,4,2,4,3,2,1,3,8,4,1,0,3,3,1,1,3,7,1,4,4,2,0,4,0,1,4,0
R_cell_262,1,3,3,8,0,1,3,3,3,4,3,6,4,11,3,2,5,3,3,2,7,5,4,2,1,6,8,1,3,2,49,2,14,10,15,21,17,6,20,26,5,2,5,3,2,5,8,0,4,4,2,7,3,3,1,3,0,1,5,3,3,0,2,7,12,5,1,2,2,0,2,2,0,6,2,5,3,3,0,0,7,2,1,6,0,3,2,2,11,6,4,3,0,5,0,0,4,1,3,0
R_cell_263,3,2,5,5,0,1,8,2,1,1,6,8,3,2,6,2,4,0,4,1,6,10,53,19,8,16,42,11,21,19,3,2,1,2,3,5,2,0,1,3,6,3,4,3,6,1,7,3,2,5,3,0,0,3,3,2,5,9,1,4,1,4,2,3,6,3,1,0,1,0,0,1,1,1,2,5,0,2,5,1,2,3,0,5,2,3,6,0,3,1,5,3,8,0,2,2,2,0,1,1
R_cell_264,4,0,2,4,0,2,1,4,4,5,5,6,4,9,3,4,3,2,15,2,1,2,10,1,1,3,1,3,3,1,11,3,1,1,3,7,2,2,3,2,37,10,3,9,11,10,23,26,37,8,4,8,0,2,2,3,3,8,2,8,0,1,1,2,4,7,1,1,7,5,2,0,4,11,2,7,4,2,4,2,4,3,2,2,1,4,5,4,2,3,6,0,2,4,0,0,1,1,7,2
R_cell_265,23,6,6,25,3,5,8,9,13,2,7,2,4,6,7,4,5,2,5,3,3,2,3,0,2,3,1,0,9,3,9,1,1,3,2,6,2,4,0,5,6,3,1,4,4,4,8,4,4,2,2,4,3,1,6,3,2,5,4,3,1,1,6,3,5,7,2,2,3,3,2,2,4,5,4,3,3,4,3,1,7,2,6,3,1,1,4,4,4,1,1,4,0,1,1,2,1,2,3,4
R_cell_266,0,2,2,6,0,0,8,2,4,0,16,23,10,12,13,4,22,3,42,13,4,2,6,1,4,2,6,5,1,2,16,0,1,2,8,1,3,1,1,4,4,5,1,7,3,3,4,5,6,0,7,7,0,0,4,2,5,8,0,2,1,1,3,7,8,7,1,4,5,1,0,1,0,8,4,2,4,2,2,2,5,5,2,2,2,6,2,5,4,6,9,0,1,0,0,0,1,3,5,2
R_cell_267,5,0,5,7,0,0,7,2,1,2,5,5,3,14,5,3,3,2,4,2,2,8,32,19,12,14,46,7,9,6,9,4,1,1,3,4,5,2,0,2,3,4,1,1,3,1,7,2,6,5,0,3,1,1,1,2,2,16,3,2,2,2,6,2,1,7,1,2,7,0,0,1,1,5,2,3,5,3,7,0,2,0,7,0,3,0,1,4,4,6,1,3,2,2,1,1,1,1,2,0
R_cell_268,11,1,0,7,1,4,3,3,5,4,5,2,4,5,2,1,6,3,1,1,9,12,17,33,20,16,32,6,10,3,11,1,2,3,1,2,1,2,2,3,3,3,2,2,2,4,5,10,2,2,5,4,2,2,4,1,6,3,1,6,2,5,0,8,4,5,3,3,5,1,1,2,1,3,3,3,0,5,5,1,1,4,3,3,0,6,3,4,3,1,2,2,3,1,0,1,0,2,5,2
R_cell_269,5,2,8,3,0,4,4,1,5,2,15,30,5,23,26,6,19,9,21,14,2,3,10,3,2,2,4,0,1,4,8,2,3,2,1,2,4,0,2,2,10,0,1,2,1,1,5,5,3,4,4,3,2,2,4,1,1,4,1,4,1,2,1,2,4,6,5,1,5,3,2,1,2,3,3,2,1,2,2,3,7,1,0,1,0,7,3,3,10,2,0,4,2,1,1,4,1,3,5,2
R_cell_270,4,0,3,6,1,0,1,2,1,2,5,6,1,4,5,0,2,3,9,7,7,1,42,12,15,17,40,11,7,18,8,3,2,1,4,8,3,1,2,7,4,4,0,4,0,6,6,0,2,2,6,4,3,2,0,1,6,12,1,5,1,0,3,4,3,7,4,1,1,1,4,2,0,2,1,3,4,1,14,4,2,1,0,0,1,2,2,3,4,4,2,1,5,2,1,4,0,2,7,1
R_cell_271,3,0,7,2,2,1,2,7,0,0,11,3,2,6,5,1,1,1,8,3,3,1,11,4,2,5,8,1,4,5,7,4,1,2,4,2,3,0,2,2,35,11,2,12,10,12,14,19,21,24,5,5,0,1,1,1,0,7,2,1,3,1,2,0,5,2,1,3,7,4,1,1,1,3,4,5,3,4,6,2,6,4,1,1,0,5,1,4,2,2,4,2,3,3,1,4,0,0,4,1
R_cell_272,18,10,17,13,0,4,10,7,6,5,2,5,1,5,3,4,3,2,4,8,1,4,3,3,2,4,5,2,5,2,11,2,1,0,7,4,1,2,3,1,4,5,0,0,2,1,3,3,8,2,1,6,0,0,3,2,1,17,9,3,1,4,0,5,2,6,4,3,10,3,2,0,1,4,0,3,2,0,5,8,6,0,0,3,1,2,4,3,6,0,6,1,2,0,0,2,1,1,4,0
R_cell_273,5,1,3,6,0,1,2,0,4,2,6,5,4,5,6,3,7,4,2,4,4,11,18,18,8,7,37,14,18,8,6,2,2,1,4,9,4,2,1,8,8,8,2,4,3,2,7,1,7,1,2,4,2,3,5,2,7,15,0,2,3,2,1,7,7,4,3,6,11,0,2,3,1,6,1,3,3,5,2,4,4,0,4,1,1,5,2,3,2,4,3,3,3,3,3,0,4,0,5,1
R_cell_274,15,9,15,19,5,6,14,13,11,5,3,3,0,8,2,2,4,1,3,2,2,1,10,5,4,3,2,5,4,4,12,3,1,2,4,6,1,3,2,5,8,5,4,5,2,1,3,2,3,0,2,1,4,0,0,1,5,9,3,4,1,2,5,4,1,3,5,2,10,2,1,1,0,5,0,2,2,3,3,0,1,3,4,3,2,1,3,3,0,3,3,4,3,3,1,0,1,3,5,0
R_cell_275,4,1,6,3,1,3,3,1,2,2,6,5,4,2,1,0,2,1,6,4,1,5,4,3,2,6,2,2,4,2,52,3,5,8,10,16,5,13,29,40,5,3,4,4,2,2,6,5,13,5,1,6,1,5,5,4,4,4,2,12,1,4,2,3,2,7,3,2,1,4,6,2,1,0,5,2,1,4,7,3,5,4,1,1,1,6,2,4,4,2,11,1,6,1,1,1,0,2,6,1
R_cell_276,5,1,7,1,1,1,2,3,2,2,3,5,5,6,8,0,3,2,8,2,2,2,13,5,2,0,4,3,5,1,59,5,7,8,23,22,25,16,20,66,3,6,1,2,5,4,2,5,3,5,0,1,1,5,3,2,3,9,2,2,0,0,1,4,1,0,1,2,4,1,2,3,0,3,0,6,2,4,5,4,2,2,2,1,1,3,0,8,2,1,6,1,5,5,0,0,1,1,6,3
R_cell_277,5,1,1,5,0,0,5,3,1,0,5,6,2,1,4,4,6,1,1,5,3,4,32,18,11,14,30,13,3,15,8,2,7,3,2,6,6,2,5,8,1,4,1,2,4,2,9,1,11,2,7,5,1,3,1,2,1,7,2,8,1,3,5,3,2,6,5,0,5,2,3,1,0,7,4,2,3,4,2,5,3,0,1,6,0,1,9,2,4,4,6,1,1,1,0,1,2,3,3,1
R_cell_278,18,7,23,17,2,3,9,10,8,5,4,8,1,7,4,3,2,3,6,1,2,2,8,2,2,2,4,4,5,7,12,2,1,2,6,1,3,1,0,3,1,2,0,3,0,3,3,2,0,3,3,4,0,1,4,3,2,4,5,5,2,1,1,2,2,5,3,1,3,3,1,2,4,4,3,2,6,2,1,1,3,3,3,2,4,1,3,0,2,4,8,8,4,6,4,2,2,1,4,1
R_cell_279,2,1,1,3,2,1,1,4,1,1,3,2,7,6,4,3,4,1,2,4,6,6,22,16,11,7,37,9,7,10,10,1,0,2,4,7,1,2,1,3,8,2,4,3,3,3,6,0,2,2,4,3,4,1,1,2,4,8,0,3,0,3,1,4,6,7,5,0,2,3,1,0,0,2,8,2,1,2,4,0,2,1,2,1,0,5,2,3,2,5,3,5,4,4,1,0,1,2,2,1
R_cell_280,2,3,5,8,0,3,6,1,1,1,36,37,15,17,12,12,15,7,31,10,2,6,4,3,4,0,8,7,5,3,11,3,4,1,2,3,3,0,1,4,4,13,1,3,3,2,2,4,3,5,2,1,3,1,1,2,1,7,1,13,2,3,2,2,5,8,2,5,10,3,1,2,1,6,2,4,1,5,3,5,9,4,6,1,2,2,0,2,3,3,4,1,4,2,0,1,2,6,3,1
R_cell_281,7,1,2,8,0,2,2,5,1,3,6,2,2,1,5,3,2,2,2,2,1,2,8,9,2,1,4,6,1,4,32,5,14,16,10,18,19,17,17,30,7,1,3,3,3,2,3,2,4,3,0,2,1,4,0,2,2,5,4,4,0,5,2,4,5,3,7,3,7,0,2,1,2,2,5,9,1,1,0,0,0,0,2,3,1,2,1,2,0,3,4,2,8,0,0,2,2,3,2,3
R_cell_282,2,2,6,3,0,1,2,3,0,1,32,23,4,14,12,5,16,4,46,19,0,1,7,2,2,1,5,6,6,1,10,1,4,1,5,5,7,1,0,3,6,3,3,5,1,1,4,3,6,2,5,1,1,4,0,0,1,7,1,0,3,2,5,5,3,5,2,4,8,3,1,1,2,1,2,5,2,6,5,0,2,1,3,1,4,5,2,5,7,3,1,3,3,2,1,2,1,0,4,0
R_cell_283,1,3,4,7,0,1,4,0,3,2,2,3,2,5,6,0,3,2,9,4,1,0,12,2,1,2,7,0,3,4,15,4,2,0,10,4,8,0,1,2,17,6,8,22,11,13,11,9,27,16,3,1,0,2,0,4,2,10,2,3,2,0,1,8,6,4,3,4,6,2,2,1,1,2,3,2,1,5,1,3,2,2,0,1,0,3,4,5,5,5,7,5,0,3,2,1,0,6,1,2
R_cell_284,4,4,5,11,3,1,3,1,3,4,6,4,2,6,1,0,1,6,5,1,8,9,25,31,14,14,39,7,7,16,5,2,0,2,4,2,1,1,1,4,3,4,3,4,1,6,3,5,4,0,10,6,1,3,3,4,1,9,1,6,1,2,5,2,5,2,1,4,3,6,5,0,0,6,2,3,0,2,3,1,2,1,5,1,0,5,5,2,4,4,3,2,5,2,2,1,2,1,8,2
R_cell_285,14,9,11,38,2,5,9,3,16,2,3,7,3,8,8,1,5,1,6,4,1,4,5,1,4,1,4,1,2,2,5,2,1,0,5,13,2,3,2,2,8,4,2,7,3,2,3,2,5,6,2,6,1,6,0,3,6,9,2,4,2,1,2,4,4,4,4,2,3,0,0,0,1,4,3,4,0,7,5,5,2,0,1,2,0,5,3,1,6,6,3,5,2,2,0,1,3,2,7,1
R_cell_286,10,11,21,23,4,5,5,6,24,3,2,15,2,5,3,4,5,1,4,0,0,1,10,2,1,1,4,5,4,2,6,2,3,0,11,3,1,0,1,5,3,9,3,4,1,6,7,1,2,6,1,12,0,0,2,3,1,6,2,4,1,4,3,9,7,0,2,1,3,1,3,3,2,7,4,2,2,3,5,2,5,1,4,3,3,3,2,1,4,5,6,5,0,6,0,0,1,1,6,4
R_cell_287,7,18,17,23,1,4,8,10,15,4,2,3,0,9,6,0,2,2,8,2,2,2,4,2,1,3,5,4,2,2,19,0,4,0,6,10,3,5,3,8,5,4,2,5,1,3,6,2,4,2,1,4,0,3,7,1,1,8,2,10,1,4,7,1,5,3,4,3,4,1,1,0,1,6,4,4,2,3,4,1,4,0,4,1,1,2,1,4,3,4,2,2,0,2,1,1,3,0,2,1
R_cell_288,5,3,6,5,0,2,2,1,3,0,7,3,6,9,5,0,9,3,3,2,2,2,7,3,4,3,4,3,2,4,10,0,3,3,4,9,2,1,2,3,24,12,4,5,4,11,25,18,25,13,8,2,1,1,0,2,3,6,1,5,1,5,0,1,7,2,1,1,9,3,0,0,1,5,4,2,2,0,3,2,11,2,3,4,3,12,1,4,9,1,3,3,4,6,1,2,3,0,6,3
R_cell_289,6,5,2,6,1,0,2,3,4,3,2,4,5,6,5,3,3,3,5,1,3,3,6,1,1,5,4,7,1,1,36,7,7,4,5,14,14,14,20,65,0,2,2,3,4,3,2,2,2,1,5,3,1,2,2,1,2,8,1,5,0,2,1,5,3,5,4,0,2,2,2,0,2,2,3,2,2,1,7,1,2,4,0,1,0,6,3,3,2,2,1,1,4,3,2,0,1,1,2,1
R_cell_290,4,0,7,5,1,2,1,4,1,0,2,12,5,4,1,6,1,0,3,2,6,4,15,8,21,11,37,10,9,11,13,2,4,0,3,9,2,3,1,1,4,3,2,5,4,1,11,3,6,1,1,3,1,1,0,1,5,3,1,6,2,2,0,3,6,3,1,0,3,1,0,0,2,4,2,1,3,1,7,2,1,0,0,3,1,2,0,5,4,3,8,4,0,3,0,1,1,2,4,3
R_cell_291,19,13,20,25,1,4,5,8,33,1,1,9,2,1,1,1,1,2,2,0,3,3,8,1,2,3,11,7,2,7,14,0,1,2,5,5,6,0,2,8,4,5,1,1,2,5,6,2,9,7,2,10,0,6,0,1,3,6,1,3,2,5,1,3,3,3,3,3,3,1,1,1,0,5,4,6,3,3,4,2,2,3,7,4,0,6,5,3,9,5,7,4,1,5,0,1,2,7,5,1
R_cell_292,2,2,11,5,0,2,3,1,1,3,7,3,4,8,4,5,1,2,2,1,2,2,6,0,0,3,7,5,1,3,59,7,20,10,16,9,18,8,20,76,5,5,3,3,2,3,6,4,12,0,2,3,0,5,4,0,2,6,1,9,2,2,4,4,2,2,3,1,7,1,2,1,1,5,5,3,1,4,5,2,4,5,4,1,3,5,2,4,3,2,6,1,1,1,0,1,2,1,2,3
