,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
Q_cell_206,5,0,3,1,0,0,5,2,2,3,25,19,24,30,28,15,13,14,66,14,3,2,5,4,7,3,13,5,0,1,20,1,4,0,6,6,3,3,3,2,8,0,0,4,2,3,8,1,7,5,4,6,4,4,1,2,2,12,5,8,2,3,2,7,6,3,3,2,5,4,0,3,1,3,8,11,6,4,2,6,3,0,8,2,1,5,0,2,4,2,2,3,2,8,2,2,1,2,19,2
Q_cell_207,2,1,5,4,1,3,5,1,4,2,3,4,1,5,5,1,6,0,4,3,1,6,8,7,1,8,5,1,6,7,20,5,1,4,3,0,4,1,1,4,17,7,3,11,22,16,11,31,46,37,4,5,1,3,2,2,2,10,0,5,0,1,2,5,4,7,7,2,4,1,3,2,3,6,4,15,1,3,4,5,5,3,3,2,3,2,1,8,6,5,1,4,0,1,2,1,0,3,3,3
Q_cell_208,7,2,2,7,1,1,8,0,4,4,7,3,0,11,6,1,7,1,5,2,16,13,25,26,28,6,44,8,15,8,14,8,3,7,5,6,7,2,6,6,4,6,2,5,9,5,6,2,2,5,2,4,6,5,4,1,4,12,0,10,2,2,2,0,4,2,2,1,5,1,1,3,0,5,8,16,0,5,4,2,9,6,3,1,0,7,5,4,2,2,5,1,4,3,2,0,0,3,4,3
Q_cell_209,1,1,4,5,2,3,4,2,3,2,8,2,1,6,6,1,2,1,8,8,4,3,8,8,1,5,11,8,3,7,12,0,0,0,2,2,7,1,3,5,22,17,0,23,14,20,14,22,35,20,6,4,0,1,0,3,2,6,2,9,1,2,3,4,3,5,0,1,7,3,2,1,1,1,4,4,3,9,3,2,3,3,2,5,0,6,2,1,3,5,5,3,2,1,0,2,0,2,4,0
Q_cell_210,2,0,2,8,0,1,7,3,1,2,3,7,3,9,4,7,0,0,5,6,1,3,5,3,4,4,12,2,3,4,82,4,17,4,7,14,24,3,50,75,6,1,0,10,7,8,10,1,3,2,3,7,2,1,2,3,2,6,3,5,1,2,4,4,6,5,5,2,2,6,1,0,1,8,4,4,2,2,1,5,6,1,3,2,1,10,6,10,2,8,3,0,0,3,2,0,2,1,7,1
Q_cell_211,13,9,16,25,2,5,13,1,29,4,5,6,6,15,9,3,3,3,6,11,2,4,5,4,4,3,6,5,4,6,15,2,4,1,3,3,5,2,3,4,8,6,3,3,2,5,4,2,7,9,0,4,3,8,2,1,5,23,1,3,0,5,6,7,4,4,4,3,8,3,3,0,3,9,4,3,2,8,1,3,10,7,1,2,1,6,4,1,3,7,4,3,2,3,1,0,3,0,6,1
Q_cell_212,5,3,0,13,2,1,3,1,8,3,2,5,2,10,6,3,6,2,13,4,13,5,14,20,39,10,57,9,7,10,6,5,1,2,4,9,0,0,2,10,5,1,1,1,5,5,14,0,6,6,10,4,0,4,5,1,2,13,0,8,0,4,6,5,3,8,6,4,5,4,1,2,1,6,2,5,4,7,6,3,7,1,0,3,3,2,1,2,1,9,3,0,1,5,1,2,0,3,1,5
Q_cell_213,4,1,2,10,0,0,6,2,0,1,4,11,6,11,6,1,4,2,3,5,2,2,4,1,2,11,4,6,4,2,17,0,0,5,1,9,6,5,0,4,33,9,0,16,14,16,26,7,24,19,6,5,4,1,4,3,3,5,3,8,1,0,1,5,0,6,4,1,5,3,3,1,3,1,7,5,0,3,6,2,4,3,5,1,2,9,1,1,6,4,5,1,2,3,1,2,2,4,2,1
Q_cell_214,8,3,5,7,0,0,4,2,1,3,7,5,4,9,7,3,4,3,5,3,5,1,2,2,1,8,11,9,3,3,93,10,14,5,6,14,21,5,51,135,7,2,0,4,4,2,6,4,5,5,2,4,1,1,1,2,3,9,2,5,2,1,3,3,6,13,4,0,3,1,0,3,1,4,8,6,5,1,15,4,6,3,3,3,2,2,2,3,6,6,2,7,1,1,1,1,1,5,5,0
Q_cell_215,10,5,13,15,4,3,13,16,10,5,6,10,3,4,5,5,6,3,7,3,4,2,5,6,6,3,2,1,3,4,18,4,5,2,7,7,1,2,5,8,7,6,2,2,4,3,13,0,6,4,8,4,1,3,2,5,5,2,5,9,2,1,9,4,3,11,9,3,3,5,1,1,0,6,12,6,2,1,7,6,8,4,8,7,0,6,3,3,7,4,4,0,4,4,1,3,1,3,5,3
Q_cell_216,6,0,5,7,0,0,3,4,3,0,7,2,1,4,7,3,1,3,10,5,17,9,19,28,36,19,32,16,19,9,17,1,3,2,1,7,5,0,2,7,3,4,2,0,8,4,5,2,2,11,4,5,0,1,4,0,2,10,1,7,1,0,7,6,10,7,6,0,10,6,2,1,1,1,2,7,2,2,3,1,3,3,2,2,0,5,0,8,8,6,4,3,6,3,0,2,2,4,4,2
Q_cell_217,6,0,6,1,0,1,2,5,0,1,3,5,3,4,9,0,8,0,5,6,5,0,11,1,1,6,5,10,8,4,45,6,6,4,11,21,23,6,29,104,3,7,3,4,3,6,10,6,4,2,1,11,0,3,0,5,7,5,1,6,1,0,2,4,3,10,9,2,3,2,1,1,0,8,6,7,5,12,0,7,7,0,1,5,2,8,4,4,2,4,5,0,3,3,0,0,1,0,1,2
Q_cell_218,18,23,16,32,1,8,6,9,20,3,3,9,6,4,7,3,5,1,2,4,5,1,5,2,4,9,4,0,2,3,17,3,4,4,4,1,4,4,5,13,5,5,2,10,2,3,4,2,3,12,10,4,0,2,1,3,4,9,1,2,1,2,6,6,0,6,2,5,13,6,1,3,0,3,3,3,4,2,9,1,7,2,7,3,0,4,2,1,5,0,2,1,3,5,1,1,2,1,15,3
Q_cell_219,4,0,7,8,1,2,3,8,4,1,2,6,4,6,2,4,3,1,1,0,7,5,38,30,29,13,52,12,12,3,10,4,2,1,4,6,4,1,2,6,2,9,1,7,2,8,3,2,6,3,6,5,2,6,0,0,3,3,3,6,0,5,3,3,9,7,4,2,3,3,2,1,0,7,7,8,1,6,7,4,7,4,3,1,3,9,3,0,4,4,4,2,4,4,3,0,1,0,8,1
Q_cell_220,1,0,3,4,0,1,7,2,3,1,2,5,0,4,8,3,1,1,7,4,2,2,6,5,1,6,8,3,3,3,40,4,11,7,11,15,24,13,30,76,8,2,3,1,4,1,15,8,2,5,3,10,2,1,1,4,1,11,1,9,0,1,3,4,8,5,5,2,4,7,1,2,2,2,3,11,7,4,7,6,13,1,1,2,4,2,3,2,1,3,1,2,3,3,0,2,1,6,4,1
Q_cell_221,3,2,5,9,0,0,9,0,3,4,31,34,5,17,31,13,13,19,57,11,2,2,10,1,3,3,13,3,1,4,18,1,3,2,2,5,3,4,4,5,7,4,2,8,7,1,3,5,4,3,14,5,2,2,4,3,1,21,7,9,0,0,2,6,5,7,5,2,6,3,1,1,1,2,6,3,9,1,7,2,6,7,2,2,1,3,2,1,3,4,5,1,4,1,1,2,1,2,11,3
Q_cell_222,3,2,5,7,2,0,9,3,0,3,2,13,3,9,7,2,7,1,4,9,8,5,37,14,26,21,30,9,9,13,11,5,1,3,6,9,2,2,5,12,5,7,2,5,2,3,6,0,1,2,6,4,1,3,3,1,3,3,3,14,2,2,4,3,1,2,3,3,1,0,0,1,1,3,2,2,2,3,3,2,11,5,1,4,2,5,2,0,4,9,2,2,4,0,1,0,1,3,5,2
Q_cell_223,3,1,4,4,1,3,5,4,0,1,7,5,1,4,6,2,3,4,3,2,3,2,4,6,2,5,4,7,11,0,44,4,10,11,16,11,26,6,41,81,2,2,1,1,0,3,8,5,5,8,4,8,0,0,1,1,6,9,4,9,0,4,2,5,3,2,2,0,5,1,2,1,4,4,5,8,3,7,5,3,5,2,0,4,3,9,1,4,5,7,2,3,1,9,1,3,1,2,7,1
Q_cell_224,5,5,2,40,4,3,28,19,11,7,6,11,4,9,14,5,3,4,8,11,2,4,1,3,4,4,7,5,3,3,15,4,0,6,0,3,4,3,6,19,7,4,0,2,5,5,5,1,5,1,3,4,6,2,3,2,3,10,1,9,1,1,4,4,4,6,1,3,2,6,0,1,1,0,10,8,0,2,7,4,8,2,6,0,1,4,8,2,1,3,3,2,2,3,1,1,1,3,4,2
Q_cell_225,5,1,3,7,1,0,3,0,3,1,4,14,3,4,3,2,8,3,4,1,3,2,8,0,2,1,3,5,7,10,12,2,3,7,5,8,2,0,4,5,41,4,2,18,13,14,16,3,20,19,3,3,5,2,3,3,3,8,5,4,2,2,4,2,7,6,6,3,10,2,5,0,2,4,5,8,3,3,2,1,12,6,1,3,0,2,2,3,2,1,5,3,3,1,4,0,0,1,4,2
Q_cell_226,8,7,12,27,2,7,23,9,10,11,5,6,2,1,9,0,5,6,4,5,5,1,6,1,3,1,10,2,7,2,13,3,3,2,3,7,7,2,6,4,10,11,2,3,6,7,4,1,2,8,7,8,5,0,1,4,4,10,5,4,1,0,2,4,5,6,2,1,6,3,3,1,0,3,6,5,2,4,8,1,9,2,2,2,2,2,4,2,0,3,2,4,0,1,2,0,1,0,6,0
Q_cell_227,1,1,3,3,0,1,9,0,3,0,3,7,5,11,4,3,7,1,8,4,4,2,5,10,5,6,5,2,6,3,14,2,2,0,6,5,3,2,2,3,37,15,2,17,8,13,21,9,27,22,3,4,3,6,1,3,4,9,1,8,2,4,5,11,9,1,8,5,8,5,1,0,0,7,9,4,5,7,3,2,5,2,0,1,2,4,9,3,2,3,5,2,2,3,1,1,4,2,2,1
Q_cell_228,6,7,5,4,1,0,0,1,4,0,24,22,13,17,14,4,22,9,33,25,4,2,1,1,0,5,5,2,4,4,16,4,2,1,18,7,2,4,1,10,7,13,4,2,7,2,5,1,7,5,2,4,1,0,2,1,5,8,0,8,0,0,5,7,9,6,3,3,4,1,1,2,1,4,7,5,4,2,4,0,6,2,0,4,3,5,1,4,2,2,3,2,3,2,0,1,1,0,5,1
Q_cell_229,14,14,13,24,1,5,18,14,19,9,4,5,7,8,4,5,6,4,4,4,3,1,8,7,3,2,4,2,1,1,3,7,2,3,3,7,1,0,8,10,6,4,3,1,0,2,5,8,3,3,3,9,1,3,0,3,2,11,0,8,1,4,1,4,1,9,7,0,6,6,2,4,2,9,2,4,2,4,5,3,12,4,5,2,0,5,4,4,7,2,4,1,1,7,1,3,0,0,7,6
Q_cell_230,1,1,2,7,0,0,1,3,2,2,7,4,1,10,7,1,2,1,7,3,13,11,38,18,13,21,39,7,19,9,6,0,2,1,7,9,4,1,3,8,6,1,0,4,4,4,1,7,8,2,7,2,1,1,1,3,6,8,0,7,2,2,2,6,10,7,8,3,6,3,2,1,0,6,5,2,6,1,3,1,4,4,1,1,1,7,1,2,7,6,3,3,0,2,4,2,2,1,6,2
Q_cell_231,2,1,0,9,1,3,1,3,4,3,34,24,17,7,27,7,31,8,40,8,4,4,16,0,3,2,4,2,6,0,11,1,3,1,7,3,3,0,2,6,3,0,3,11,1,3,1,3,2,6,2,11,1,5,5,2,2,10,2,5,2,0,3,15,4,2,3,3,4,1,0,3,2,8,6,2,2,4,3,6,3,1,1,3,3,2,2,1,3,5,1,6,1,0,0,3,4,0,6,1
Q_cell_232,7,0,3,4,0,4,4,7,3,3,4,1,3,4,4,3,4,0,0,3,10,9,20,30,21,15,81,5,15,19,12,2,2,2,6,4,1,0,7,6,5,6,3,0,3,3,8,1,6,2,2,4,3,3,4,3,2,8,2,7,1,3,2,4,6,9,1,2,10,1,4,1,0,2,4,7,2,13,5,2,7,8,2,0,2,7,2,4,5,3,4,2,5,4,0,1,1,3,2,2
Q_cell_233,7,1,3,3,0,2,1,0,2,3,16,22,16,12,29,16,19,9,29,11,0,3,5,1,5,4,7,4,6,10,14,1,4,0,2,3,9,6,3,6,3,5,2,3,2,2,5,7,3,3,5,3,1,2,4,2,1,12,5,7,2,2,4,1,10,7,4,0,7,1,0,0,2,1,3,9,0,6,4,4,3,5,4,1,3,6,1,0,4,6,2,9,0,6,1,0,5,4,10,1
Q_cell_234,4,3,2,3,2,1,7,0,0,7,27,22,7,9,40,7,15,2,39,11,5,1,6,2,5,3,10,4,3,3,19,4,5,1,12,10,6,0,1,1,4,6,4,5,1,6,3,1,3,5,4,4,1,1,1,0,4,15,2,5,0,2,3,2,3,4,4,1,7,2,2,3,3,5,3,5,2,7,9,0,10,3,2,1,3,4,0,3,2,3,2,2,2,1,0,1,5,6,4,1
Q_cell_235,2,2,6,9,2,3,5,4,3,0,24,25,10,11,30,20,12,9,54,14,2,0,4,1,11,5,13,2,3,2,6,5,2,2,3,6,8,0,11,8,4,1,3,5,3,5,2,1,2,5,5,2,2,1,2,0,3,15,4,7,0,3,4,3,5,7,6,5,7,3,1,0,0,6,5,6,7,3,2,4,12,5,6,4,2,7,5,2,2,1,4,1,5,3,3,0,1,3,8,3
Q_cell_236,2,1,7,3,1,0,2,1,3,0,8,2,1,4,10,2,3,0,2,4,6,3,26,21,19,17,34,8,12,7,20,1,3,2,1,9,3,5,1,6,6,10,0,1,4,5,1,4,7,11,0,2,1,1,1,0,3,12,5,3,2,4,2,8,3,5,3,0,2,5,2,0,0,3,2,9,4,4,3,0,4,6,4,1,2,6,4,4,2,4,5,5,3,0,2,0,1,0,5,1
Q_cell_237,9,9,13,25,3,3,10,11,7,3,3,4,5,10,4,5,7,4,6,3,1,0,2,1,3,3,7,3,3,4,11,0,3,5,4,3,7,3,6,6,12,2,6,4,4,3,7,2,2,2,4,3,3,4,3,2,0,17,2,4,0,3,2,4,5,15,3,0,2,8,2,1,2,7,12,3,7,2,3,1,1,3,0,4,1,9,3,1,3,3,4,3,0,5,3,3,5,1,3,2
Q_cell_238,2,2,3,1,1,1,7,4,9,1,7,2,1,9,10,2,1,4,2,3,2,10,22,17,21,10,39,5,20,8,20,1,1,1,6,7,5,3,5,2,14,2,5,4,2,2,6,5,8,5,2,4,4,1,1,0,4,11,2,1,2,0,5,7,5,6,5,2,5,3,5,4,0,6,5,6,1,2,8,2,4,1,3,6,1,3,3,1,3,4,2,3,3,4,0,0,3,1,8,1
Q_cell_239,7,3,7,2,0,0,5,0,0,7,8,14,5,5,7,0,2,1,6,7,7,1,9,3,5,5,2,3,6,9,67,0,7,5,10,10,25,7,42,80,10,5,3,7,5,4,4,3,7,3,5,3,3,2,2,2,3,5,1,8,2,0,6,3,10,3,4,1,5,4,1,4,0,1,6,0,5,5,3,5,1,1,5,0,2,6,2,0,5,4,3,1,2,3,0,3,2,4,4,0
Q_cell_240,21,11,25,51,4,4,10,21,15,3,3,5,5,9,5,2,2,3,5,8,3,4,11,5,2,2,6,0,2,2,13,0,2,4,2,7,2,0,0,9,3,5,1,3,5,3,6,3,5,9,5,2,2,3,0,1,4,8,2,11,1,1,0,4,3,1,3,0,8,2,0,0,2,5,4,4,1,4,1,1,9,2,4,0,2,4,5,1,1,11,3,5,3,7,2,0,0,0,2,2
Q_cell_241,3,4,1,1,0,0,3,3,4,2,39,29,5,14,18,6,16,15,62,17,3,2,5,5,4,2,23,1,8,5,14,2,2,2,4,2,8,3,3,1,6,3,1,3,1,6,10,3,5,4,4,3,1,2,3,4,2,10,3,7,1,3,3,4,6,8,5,3,5,7,1,0,1,4,6,3,4,3,3,7,6,5,2,3,0,6,1,4,5,15,1,2,7,2,1,1,1,3,3,2
Q_cell_242,6,0,1,3,1,1,2,0,3,2,5,4,5,5,14,1,5,3,6,2,11,12,27,16,18,18,35,12,19,18,10,4,0,1,5,5,5,2,4,5,8,4,1,4,3,8,5,0,3,5,3,1,2,3,0,3,6,25,3,5,1,2,1,5,3,3,7,3,4,2,2,1,2,4,5,7,1,4,8,4,2,1,3,1,3,2,0,2,6,5,2,2,5,7,1,0,1,6,0,5
Q_cell_243,2,0,3,3,0,3,7,4,0,2,0,10,2,12,1,1,2,1,12,4,4,7,64,34,8,14,39,10,9,2,13,2,2,2,6,10,10,1,4,9,6,4,1,5,4,2,6,1,5,5,2,6,2,3,1,2,2,15,2,9,0,5,3,4,1,4,1,2,8,3,5,1,0,5,6,4,2,5,4,5,7,1,4,2,2,6,1,1,3,5,3,2,3,1,2,0,2,3,5,2
Q_cell_244,6,4,4,6,1,0,7,2,1,0,11,12,2,10,2,1,5,3,5,2,1,2,5,0,5,2,6,2,1,4,11,3,2,3,3,1,4,1,9,2,37,12,8,9,11,19,15,16,36,25,3,1,1,1,3,0,5,2,1,6,1,0,3,4,4,6,2,3,7,2,1,5,0,3,11,4,5,5,6,5,3,2,4,0,0,4,4,8,6,7,8,0,1,2,4,1,1,0,7,0
Q_cell_245,7,2,1,5,2,0,5,2,6,2,26,26,7,23,45,12,13,20,39,16,0,2,10,1,3,2,8,3,2,3,22,2,0,0,8,5,7,3,0,5,10,3,1,9,5,10,3,6,6,4,4,2,0,8,1,1,0,10,4,10,1,1,4,2,5,6,3,0,8,5,0,1,0,4,4,6,2,1,4,5,4,6,0,4,0,1,1,2,3,2,3,5,2,1,0,0,2,1,1,5
Q_cell_246,2,3,6,7,2,0,5,1,3,1,17,35,13,23,17,15,22,12,52,14,4,1,9,5,3,3,8,3,1,3,22,1,5,0,10,5,4,2,3,1,3,1,2,1,9,3,4,2,1,2,4,7,0,6,0,1,6,10,2,7,3,2,2,5,8,8,4,1,9,4,1,1,8,3,6,4,3,3,4,0,4,0,3,2,2,10,5,0,2,3,1,3,0,1,2,1,1,1,4,3
Q_cell_247,3,0,3,7,1,2,1,5,0,1,17,6,1,19,3,3,4,2,9,2,3,1,6,4,1,6,7,4,2,2,39,4,17,7,7,16,10,12,26,111,10,0,0,4,5,2,11,3,3,6,5,5,3,5,3,3,5,9,4,3,4,2,4,3,4,5,2,0,9,10,3,2,1,6,2,7,3,1,6,3,5,3,2,3,0,4,0,1,3,4,4,2,3,1,1,3,0,1,4,3
Q_cell_248,5,0,3,5,1,0,1,3,2,1,55,33,6,11,14,14,29,4,54,15,5,3,6,5,2,2,10,2,6,4,14,4,0,6,3,8,3,2,7,14,6,9,3,0,8,4,2,2,5,6,13,6,1,1,2,1,5,10,3,5,0,2,3,3,4,7,4,4,4,4,1,2,0,3,5,5,5,5,7,4,5,7,0,4,2,5,3,4,2,3,3,1,2,1,1,0,0,0,1,3
Q_cell_249,4,2,3,5,1,2,4,3,5,1,3,13,5,15,3,2,2,1,1,2,2,2,7,2,7,4,3,3,2,7,58,6,7,12,3,22,25,11,56,85,1,3,0,0,5,2,10,3,5,6,3,4,1,3,5,1,9,22,4,4,0,2,3,6,12,7,3,0,3,2,2,1,1,3,7,4,1,1,11,5,5,4,3,1,2,8,3,9,3,2,6,2,3,2,2,1,3,3,9,2
Q_cell_250,2,2,3,12,0,0,3,2,1,1,7,9,4,10,7,5,3,1,3,4,16,13,26,19,24,3,78,6,12,11,5,6,0,2,3,6,0,2,5,9,5,6,1,7,4,4,4,3,4,8,1,5,1,1,1,2,1,15,3,14,3,5,8,11,4,4,11,0,10,2,1,2,0,4,10,2,3,4,2,2,0,6,2,6,1,6,1,3,2,7,2,2,2,0,2,0,2,2,8,3
Q_cell_251,1,4,2,7,0,1,6,5,3,1,5,19,1,6,8,3,5,0,5,2,20,12,10,31,40,17,37,7,32,13,28,1,1,6,3,7,2,1,3,10,3,11,2,1,4,3,5,1,4,1,8,5,2,4,2,1,4,6,1,12,2,2,3,4,11,5,2,1,1,1,0,3,3,2,3,3,0,3,8,3,11,2,0,4,1,3,4,6,2,3,2,1,0,4,4,2,3,3,6,1
Q_cell_252,5,1,2,1,0,3,10,0,1,3,5,18,4,6,8,1,2,3,5,4,11,7,14,22,16,17,64,6,6,7,11,5,1,2,11,2,5,0,1,7,2,7,1,4,4,2,3,3,5,8,3,8,0,2,2,2,2,14,2,5,0,4,2,8,1,5,1,4,1,1,0,2,2,9,5,4,3,1,5,5,4,6,0,0,3,3,4,3,3,1,2,4,5,3,2,0,2,1,1,4
Q_cell_253,4,1,5,11,1,0,1,3,4,5,2,19,3,6,5,1,7,1,2,2,5,1,6,1,0,13,5,3,2,6,9,5,0,3,7,13,12,2,6,6,25,5,10,17,17,20,15,16,24,14,3,6,1,3,1,5,2,7,2,4,3,1,3,0,9,6,5,1,7,3,1,3,1,3,12,7,4,4,2,4,3,4,0,4,3,8,1,4,4,2,4,1,0,3,1,0,0,2,1,1
Q_cell_254,2,6,5,2,0,1,1,2,1,2,6,6,5,2,5,5,2,1,8,4,5,3,4,4,1,2,10,0,3,7,16,3,5,0,4,8,6,0,6,8,17,22,6,15,13,19,16,6,28,16,6,6,3,2,1,1,1,13,2,9,0,3,5,5,5,4,3,3,14,4,2,0,5,3,2,5,2,4,5,6,7,1,0,2,1,4,3,5,1,3,0,6,5,2,0,1,2,2,5,1
Q_cell_255,7,2,2,11,0,0,6,2,2,1,4,4,1,5,6,1,5,5,6,2,0,1,2,2,2,2,10,3,3,1,11,2,3,0,3,3,1,3,2,7,36,23,5,25,6,11,14,17,25,25,2,7,5,2,3,3,4,4,3,9,0,1,2,3,4,4,4,5,4,4,0,2,2,4,5,5,3,6,10,2,2,1,6,3,4,4,1,3,1,2,5,0,6,0,1,1,1,1,5,1
Q_cell_256,6,3,1,11,0,2,11,0,1,0,4,1,5,5,7,1,1,3,3,1,1,5,7,3,3,4,8,6,2,2,23,5,4,3,2,3,5,3,1,5,13,14,2,4,11,7,15,13,37,23,4,2,2,6,2,6,4,7,3,7,0,5,4,7,3,5,7,0,1,5,1,1,0,5,5,5,1,3,5,1,6,4,2,1,0,4,1,5,3,1,3,1,4,2,0,0,1,3,8,1
Q_cell_257,5,0,2,8,3,0,3,4,1,4,2,3,2,4,5,0,4,3,10,0,1,1,2,4,8,1,8,1,3,7,15,4,3,0,9,3,8,0,3,4,35,12,2,23,11,23,23,13,32,28,6,4,1,5,3,2,2,9,1,12,1,1,5,2,5,6,11,0,6,3,2,1,3,1,8,13,5,4,4,10,5,0,4,1,1,1,3,6,2,7,10,0,3,3,0,0,0,3,9,2
Q_cell_258,4,0,2,5,2,1,12,5,2,1,27,35,15,21,16,13,26,10,32,13,3,1,8,4,1,4,0,5,1,5,28,7,2,2,3,7,5,1,2,6,10,5,1,1,3,3,5,2,4,4,5,3,0,3,3,7,1,7,1,8,0,1,1,3,7,3,4,0,4,1,0,3,4,2,3,4,4,2,5,8,8,3,1,2,2,6,2,0,2,2,2,5,2,4,1,2,3,2,2,0
Q_cell_259,5,0,2,0,0,4,7,3,1,3,4,8,0,5,6,2,3,1,11,1,3,0,2,5,1,4,10,1,7,3,69,8,15,13,17,10,18,20,62,106,5,5,1,2,1,3,4,1,2,7,3,4,2,4,5,6,2,5,2,1,1,2,4,12,2,5,1,2,6,0,2,0,3,5,3,4,1,4,8,5,3,2,4,3,0,2,3,3,4,5,2,4,2,5,1,1,2,0,2,0
Q_cell_260,1,0,2,4,2,1,2,2,1,2,9,8,7,12,0,1,4,2,3,2,9,2,34,24,16,4,41,11,10,15,10,2,3,2,3,4,3,0,1,3,5,7,1,1,2,11,7,4,2,3,3,2,3,0,0,3,3,4,1,8,1,2,6,4,9,4,4,0,9,2,0,4,1,5,5,3,2,5,6,1,9,3,4,3,2,5,1,4,16,4,5,3,1,2,0,3,0,3,0,0
Q_cell_261,14,32,13,26,0,14,13,3,14,2,5,9,2,2,5,6,7,2,8,5,2,4,11,1,5,4,5,3,5,7,8,3,3,1,3,2,3,3,3,6,1,6,2,2,2,3,3,3,2,7,3,5,0,5,1,3,3,8,3,7,3,1,4,3,4,3,4,6,2,3,1,2,5,6,0,11,2,4,3,0,11,4,4,2,0,8,3,1,1,3,4,1,2,6,0,0,1,1,8,0
Q_cell_262,1,1,7,1,1,2,5,2,0,0,4,7,1,4,2,1,2,1,3,4,7,2,5,2,5,6,3,2,4,4,59,10,6,10,5,6,18,15,15,108,7,1,3,1,3,4,8,3,1,14,8,6,1,5,3,3,3,12,2,13,0,3,5,1,3,12,1,5,5,3,5,1,0,10,7,5,3,4,5,4,4,6,3,5,4,3,4,6,4,7,5,3,4,1,1,1,2,4,5,1
Q_cell_263,1,0,5,4,1,1,6,2,1,1,8,10,1,11,3,2,1,1,3,4,14,9,22,14,14,12,95,12,8,14,12,2,3,1,4,12,4,2,9,4,11,8,0,1,10,2,5,4,5,7,4,0,2,1,6,1,2,10,2,3,2,0,3,3,6,3,5,1,6,3,2,0,1,5,12,1,6,3,3,6,7,2,1,0,1,4,5,0,4,5,5,0,1,1,4,0,3,5,2,1
Q_cell_264,0,1,9,9,1,1,3,2,2,2,19,27,7,15,25,12,11,9,33,12,0,2,8,0,2,4,7,8,7,4,17,5,0,2,5,8,3,0,1,6,5,0,1,1,2,9,4,4,3,4,8,3,4,1,1,3,3,10,2,3,1,0,6,3,4,3,3,2,5,2,0,0,1,2,5,4,1,3,7,5,7,6,4,2,2,8,3,3,5,4,4,2,1,2,0,1,2,2,8,1
Q_cell_265,4,1,1,8,4,0,6,1,2,4,34,27,7,8,22,14,32,12,35,10,2,2,4,1,0,4,7,2,2,4,7,4,3,3,8,7,3,0,0,12,14,3,2,3,11,7,2,2,4,3,3,8,2,5,1,2,5,15,1,8,1,3,7,4,3,8,3,1,5,1,0,4,0,6,10,5,1,4,7,3,5,1,4,6,3,1,2,1,3,5,2,2,1,3,2,2,4,3,5,3
Q_cell_266,3,3,2,10,0,0,1,2,2,3,14,24,13,21,53,13,15,7,67,16,6,4,3,2,2,3,8,3,1,1,23,0,2,1,2,8,2,4,6,4,7,5,0,3,4,1,0,1,3,4,3,5,1,2,1,1,2,14,3,12,1,1,5,3,8,11,1,0,6,1,4,3,1,2,9,3,2,4,8,3,3,3,3,4,2,7,2,1,3,5,3,0,5,2,3,1,5,3,5,3
Q_cell_267,5,1,5,7,1,0,3,4,4,2,5,10,2,5,5,5,4,1,9,3,11,20,25,23,20,8,61,7,10,4,20,5,2,3,8,4,5,5,2,10,13,1,1,2,6,4,11,2,2,0,4,10,1,1,2,2,3,19,1,2,0,3,3,0,5,7,5,0,9,6,3,1,0,3,11,7,4,1,6,0,7,1,3,2,1,5,0,6,5,8,8,2,0,7,0,1,0,5,15,0
Q_cell_268,0,2,3,8,2,0,3,7,2,2,9,3,0,7,5,1,5,5,4,4,3,0,3,4,3,4,11,4,6,5,12,2,2,1,2,7,1,0,1,10,51,19,3,23,17,9,30,8,28,13,8,8,3,2,1,2,2,7,6,7,1,1,7,2,1,3,6,4,3,5,0,0,0,1,8,7,4,5,6,4,4,4,2,2,1,7,3,1,4,3,2,2,2,6,0,1,3,5,2,0
Q_cell_269,18,11,18,25,3,6,14,11,29,2,10,4,3,11,14,2,0,2,7,4,6,1,10,0,6,4,0,1,5,5,16,2,2,1,7,3,5,4,0,7,10,1,3,4,6,7,3,5,10,6,1,7,6,6,1,1,5,7,7,17,1,0,6,14,8,12,9,2,6,2,1,3,1,2,14,9,1,4,7,1,6,1,1,1,3,5,3,5,2,5,3,2,0,3,0,0,7,5,4,2
